pais,bioproject,st,genomas
Brasil,PRJNA742192,ST881,2
Brasil,PRJNA742192,ST25,1
Brasil,PRJNA742192,sin ST,1
Brasil,PRJNA772654,ST79,1
Brasil,PRJNA916281,ST79,1
Brasil,PRJNA938102,ST2,15
Brasil,PRJNA938102,sin ST,1
Brasil,PRJNA950404,ST15,1
Brasil,PRJNA950404,ST79,1
Brasil,PRJNA974706,ST15,1
Brasil,PRJNA982036,ST79,1
Brasil,PRJNA988092,ST15,1
Chile,PRJEB39593,ST15,1
Chile,PRJNA279414,sin ST,1
Chile,PRJNA471066,ST15,1
Chile,PRJNA627433,ST15,1
Chile,PRJNA627433,ST318,1
Chile,PRJNA627433,ST1,1
Chile,PRJNA723341,ST15,16
Chile,PRJNA723341,ST318,11
Chile,PRJNA723341,ST162,7
Chile,PRJNA723341,ST1,6
Chile,PRJNA723341,ST109,4
Chile,PRJNA723341,ST876,1
Chile,PRJNA723341,ST193,1
Chile,PRJNA723341,sin ST,1
Chile,PRJNA731249,ST109,10
Chile,PRJNA731249,ST15,8
Chile,PRJNA731249,ST162,6
Chile,PRJNA731249,ST79,5
Chile,PRJNA731249,ST1,3
Chile,PRJNA731249,ST318,2
Chile,PRJNA731249,ST241,1
Chile,PRJNA906166,ST318,4
Chile,PRJNA962904,ST1,4
Chile,PRJNA962904,ST318,3
Colombia,PRJEB107069,ST79,12
Colombia,PRJEB107069,ST78,6
Colombia,PRJEB107069,sin ST,4
Colombia,PRJEB107069,ST32,4
Colombia,PRJEB107069,ST108,3
Colombia,PRJEB107069,ST945,2
Colombia,PRJEB107069,ST464,2
Colombia,PRJEB107069,ST1190,1
Colombia,PRJEB107069,ST2588,1
Colombia,PRJEB107069,ST77,1
Colombia,PRJEB107069,ST1163,1
Colombia,PRJEB107069,ST513,1
Colombia,PRJEB107069,ST1022,1
Colombia,PRJEB107069,ST37,1
Colombia,PRJEB107069,ST1055,1
Colombia,PRJEB107069,ST2284,1
Colombia,PRJEB107069,ST150,1
Colombia,PRJEB107069,ST1357,1
Colombia,PRJEB107069,ST1405,1
Colombia,PRJEB107069,ST424,1
Colombia,PRJEB107069,ST1094,1
Colombia,PRJEB27899,ST79,1
Colombia,PRJNA1322038,ST345,1
Colombia,PRJNA270223,ST464,1
Colombia,PRJNA354075,ST920,1
Colombia,PRJNA906166,ST25,7
Colombia,PRJNA906166,ST79,4
Colombia,PRJNA906166,ST78,1
Colombia,PRJNA906166,ST1635,1
Ecuador,PRJEB56918,ST2,5
Ecuador,PRJEB56918,ST79,1
Ecuador,PRJNA953974,ST2,2
Ecuador,PRJNA953974,ST108,2
Ecuador,PRJNA953974,ST79,1
Paraguay,PRJEB56918,ST1,9
Paraguay,PRJEB56918,ST25,4
Paraguay,PRJEB56918,ST15,2
Paraguay,PRJEB56918,ST79,2
Paraguay,PRJEB56918,ST512,1
Paraguay,PRJEB56918,ST2,1
Paraguay,PRJNA1012735,ST2,14
Paraguay,PRJNA1012735,ST79,13
Paraguay,PRJNA1012735,ST25,9
Paraguay,PRJNA1012735,ST1,3
Paraguay,PRJNA1012735,ST2526,2
Paraguay,PRJNA1012735,ST2266,1
Paraguay,PRJNA1012735,ST15,1
Paraguay,PRJNA1197744,ST2,7
Paraguay,PRJNA1197744,ST79,1
Peru,PRJNA1015678,ST158,4
Peru,PRJNA1128084,ST2724,1
Peru,PRJNA1128084,ST2,1
Peru,PRJNA1339005,ST2,14
Peru,PRJNA1339005,ST1079,3
Peru,PRJNA1339005,ST79,2
Peru,PRJNA545079,ST79,1
Peru,PRJNA545079,ST193,1
Peru,PRJNA545079,ST1126,1
Peru,PRJNA545079,ST106,1
Peru,PRJNA936143,ST2,4
Venezuela,PRJEB26670,ST2,1
Venezuela,PRJNA1255660,ST79,1
Venezuela,PRJNA627433,ST25,3
Venezuela,PRJNA627433,ST412,1
