variable	grupo	est	lo	hi
blaOXA23	Paraguay_PRJNA1197744	2.33129515144512	-0.74646677075	6.29721153
blaOXA23	Peru_PRJNA1339005	-1.72609220099243	-3.83879306	0.867096732
blaOXA72	Argentina_PRJNA1081428	-0.608596560463457	-4.695784145	2.5840075775
blaOXA72	Argentina_PRJNA1140135	-0.509614921215369	-4.57489659	2.7251706675
blaOXA72	Argentina_PRJNA1404816	-0.517036050806572	-4.47415529	2.84147864
blaOXA72	Argentina_PRJNA906166	-0.820309719390371	-4.6448262175	2.244055465
blaOXA72	Bolivia_PRJNA489088	-1.36920259500502	-5.3123220175	1.71476819
blaOXA72	Brasil_PRJNA1311549	-1.20301736741955	-4.8259882025	1.411470095
blaOXA72	Brasil_PRJNA1420207	-1.32794302270136	-4.9562785125	1.228549565
blaOXA72	Brasil_PRJNA1477026	-1.66684278251766	-5.0798911525	0.787015617
blaOXA72	Brasil_PRJNA301792	-1.3759300152664	-5.01313992	1.203797265
blaOXA72	Brasil_PRJNA613847	0.954406352391548	-0.53327979	2.76699222
blaOXA72	Brasil_PRJNA632943	2.86650882116617	1.1449981325	4.8501833
blaOXA72	Brasil_PRJNA677881	1.55990125835072	-0.07694692265	3.46061297
blaOXA72	Brasil_PRJNA742192	1.53511159753849	-0.10934101425	3.416495905
blaOXA72	Brasil_PRJNA938102	-1.20826044841406	-4.875937655	1.44382644
blaOXA72	Chile_PRJNA723341	-1.10297287308452	-5.00161223	1.9344257175
blaOXA72	Chile_PRJNA731249	-0.983929668051147	-4.9059908325	2.06352308
blaOXA72	Colombia_PRJEB107069	-1.53708449152976	-5.44805366	1.2917589225
blaOXA72	Colombia_PRJNA906166	0.825766381296602	-1.9572209425	3.611263785
blaOXA72	Paraguay_PRJEB56918	-0.765239354942124	-4.7567675275	2.368980965
blaOXA72	Paraguay_PRJNA1012735	-1.05458830772853	-5.02736185	2.0183293525
blaOXA72	Paraguay_PRJNA1197744	-0.538080191677235	-4.456192235	2.8014075875
blaOXA72	Peru_PRJNA1339005	2.04356354307673	-1.482205105	5.262584595
