pais	bioproject	n	variable	valor	pct
Brasil	PRJNA742192	45	n_linajes_distintos	7	15.6
Brasil	PRJNA938102	16	sin_carbapenemasa	-	0.0
Brasil	PRJNA938102	16	ST2	-	93.8
Brasil	PRJNA938102	16	blaOXA-23	-	100.0
Brasil	PRJNA938102	16	blaOXA-72	-	0.0
Brasil	PRJNA938102	16	capsula_dominante	KL56	50.0
Brasil	PRJNA938102	16	linaje_dominante	ST2	93.8
Brasil	PRJNA938102	16	replicon_dominante	r3-T1	93.8
Brasil	PRJNA938102	16	n_linajes_distintos	2	12.5
Chile	PRJNA723341	47	sin_carbapenemasa	-	59.6
Chile	PRJNA723341	47	ST2	-	0.0
Chile	PRJNA723341	47	blaOXA-23	-	19.1
Chile	PRJNA723341	47	blaOXA-72	-	0.0
Chile	PRJNA723341	47	capsula_dominante	KL22	57.4
Chile	PRJNA723341	47	linaje_dominante	ST15	34.0
Chile	PRJNA723341	47	replicon_dominante	r3-T14	74.5
Chile	PRJNA723341	47	n_linajes_distintos	8	17.0
Chile	PRJNA731249	35	sin_carbapenemasa	-	28.6
Chile	PRJNA731249	35	ST2	-	0.0
Chile	PRJNA731249	35	blaOXA-23	-	37.1
Chile	PRJNA731249	35	blaOXA-72	-	0.0
Chile	PRJNA731249	35	capsula_dominante	KL9	48.6
Chile	PRJNA731249	35	linaje_dominante	ST109	28.6
Chile	PRJNA731249	35	replicon_dominante	r3-T14	77.1
Chile	PRJNA731249	35	n_linajes_distintos	7	20.0
Colombia	PRJEB107069	47	sin_carbapenemasa	-	48.9
Colombia	PRJEB107069	47	ST2	-	0.0
Colombia	PRJEB107069	47	blaOXA-23	-	40.4
Colombia	PRJEB107069	47	blaOXA-72	-	0.0
Colombia	PRJEB107069	47	capsula_dominante	KL22	10.6
Colombia	PRJEB107069	47	linaje_dominante	ST79	25.5
Colombia	PRJEB107069	47	replicon_dominante	ninguno	31.9
Colombia	PRJEB107069	47	n_linajes_distintos	21	44.7
Colombia	PRJNA906166	13	sin_carbapenemasa	-	0.0
Colombia	PRJNA906166	13	ST2	-	0.0
Colombia	PRJNA906166	13	blaOXA-23	-	92.3
Colombia	PRJNA906166	13	blaOXA-72	-	7.7
Colombia	PRJNA906166	13	capsula_dominante	KL3	53.8
Colombia	PRJNA906166	13	linaje_dominante	ST25	53.8
Colombia	PRJNA906166	13	replicon_dominante	ninguno	53.8
Colombia	PRJNA906166	13	n_linajes_distintos	4	30.8
Paraguay	PRJEB56918	19	sin_carbapenemasa	-	5.3
Paraguay	PRJEB56918	19	ST2	-	5.3
Paraguay	PRJEB56918	19	blaOXA-23	-	78.9
Paraguay	PRJEB56918	19	blaOXA-72	-	0.0
Paraguay	PRJEB56918	19	capsula_dominante	KL1	47.4
Paraguay	PRJEB56918	19	linaje_dominante	ST1	47.4
Paraguay	PRJEB56918	19	replicon_dominante	r3-T14	63.2
Paraguay	PRJEB56918	19	n_linajes_distintos	6	31.6
Paraguay	PRJNA1012735	43	sin_carbapenemasa	-	2.3
Paraguay	PRJNA1012735	43	ST2	-	32.6
Paraguay	PRJNA1012735	43	blaOXA-23	-	97.7
Paraguay	PRJNA1012735	43	blaOXA-72	-	0.0
Paraguay	PRJNA1012735	43	capsula_dominante	KL9	34.9
Paraguay	PRJNA1012735	43	linaje_dominante	ST2	32.6
Paraguay	PRJNA1012735	43	replicon_dominante	r3-T14	51.2
Paraguay	PRJNA1012735	43	n_linajes_distintos	7	16.3
Paraguay	PRJNA1197744	8	sin_carbapenemasa	-	0.0
Paraguay	PRJNA1197744	8	ST2	-	87.5
Paraguay	PRJNA1197744	8	blaOXA-23	-	100.0
Paraguay	PRJNA1197744	8	blaOXA-72	-	0.0
Paraguay	PRJNA1197744	8	capsula_dominante	KL3	50.0
Paraguay	PRJNA1197744	8	linaje_dominante	ST2	87.5
Paraguay	PRJNA1197744	8	replicon_dominante	r3-T1	87.5
Paraguay	PRJNA1197744	8	n_linajes_distintos	2	25.0
Peru	PRJNA1339005	19	sin_carbapenemasa	-	21.1
Peru	PRJNA1339005	19	ST2	-	73.7
Peru	PRJNA1339005	19	blaOXA-23	-	26.3
Peru	PRJNA1339005	19	blaOXA-72	-	52.6
Peru	PRJNA1339005	19	capsula_dominante	KL9	36.8
Peru	PRJNA1339005	19	linaje_dominante	ST2	73.7
Peru	PRJNA1339005	19	replicon_dominante	r3-T18	68.4
Peru	PRJNA1339005	19	n_linajes_distintos	3	15.8
